title,release_year,location,lat,lng,fun_fact,production_company,distributor,director,writer,actor1,actor2,actor3
The Dead Pool,1988,Hall of Justice (850 Bryant Street),37.775471,-122.4037169,,Warner Bros. Pictures,Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,
The Dead Pool,1988,22nd Bet. Carolina & Rhode Island Streets (Potrero Hill),37.759675,-122.40208,,Warner Bros. Pictures,Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,
The Presidio,1988,Sansome Street (The Embarcadero),37.795731,-122.4017017,,Paramount Pictures,Paramount Pictures,Peter Hyams,Larry Ferguson,Sean Connery,Mark Harmon,
The Presidio,1988,Market & 2nd Streets,37.7892536,-122.4014483,,Paramount Pictures,Paramount Pictures,Peter Hyams,Larry Ferguson,Sean Connery,Mark Harmon,
The Dead Pool,1988,20th & DeHaro Streets (Potrero Hill),37.7597412,-122.4010859,,Warner Bros. Pictures,Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,
The Presidio,1988,200 Block of Sansome Street (Financial District),37.792296,-122.400707,,Paramount Pictures,Paramount Pictures,Peter Hyams,Larry Ferguson,Sean Connery,Mark Harmon,
The Presidio,1988,Battery Street (The Embarcadero),37.7967882,-122.4006978,,Paramount Pictures,Paramount Pictures,Peter Hyams,Larry Ferguson,Sean Connery,Mark Harmon,George Wendt
The Dead Pool,1988,22nd & Wisconsin Streets (Potrero Hill),37.7573037,-122.3989281,,Warner Bros. Pictures,Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,
The Dead Pool,1988,Folsom & Essex Streets,37.7863347,-122.3957513,,Warner Bros. Pictures,Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,
The Dead Pool,1988,Pier 3 (The Embarcadero),37.7983669,-122.3945157,,Warner Bros. Pictures,Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,Ellen Barkin
The Presidio,1988,Ferry Building,37.795923,-122.392052,"Every hour and half-hour, the clock bell atop the Ferry Building chimes portions of the Westminster Quarters.",Paramount Pictures,Paramount Pictures,Peter Hyams,Larry Ferguson,Sean Connery,Mark Harmon,
The Dead Pool,1988,23rd & Iowa Streets (Dogpatch),37.7551696,-122.3918784,,Warner Bros. Pictures,Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,
The Dead Pool,1988,"Mirant Energy, LLC (1301 Illinois Street, The Dogpatch)",37.7591221,-122.3895378,,Warner Bros. Pictures,Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,
The Dead Pool,1988,San Francisco Drydock (The Dogpatch),37.7591221,-122.3895378,,Warner Bros. Pictures,Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,
The Dead Pool,1988,Fremont Street Exit of Bay Bridge,37.8193346,-122.3450661,,Warner Bros. Pictures,Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,
Common Threads: Stories From the Quilt,1989,The Castro,37.7609082,-122.4350043,"From 1910-1920 the Castro was called ""Little Scandinavia"" because of its high concentration of residents of Scandinavian ancestry.",Home Box Office (HBO),Direct Cinema Limited,Rob Epstein,Jeffrey Friedman,Sara Lewinstein,David Mandell,
Fat Man and Little Boy,1989,"Postcard Row (Alamo Square, Hayes Valley)",37.7759073,-122.4245247,The 6 Victorian homes across from Alamo Square Park are among the few Victorians to survive the Great Fire.,Paramount Pictures,Paramount Pictures,Roland Joffe,Roland Joffe,Paul Newman,John Cusack,
Casualties of War,1989,Mission Delores Park (Mission District) via J-Church MUNI Train,37.7749295,-122.4194155,"The two land plots that comprise the Park were used as a Jewish cemetary until 1894 when San Francisco prohibited all burials within city limits.The graves were moved to Colma, CA.",Columbia Pictures Corporation,Columbia Pictures,Brian DePalma,Daniel Lang,Michael J. Fox,Sean Penn,
Indiana Jones and the Last Crusade,1989,Administration Building (Treasure Island),37.8235515,-122.370648,"An artificial island, Treasure Island was created for the 1939 Golden Gate International Exposition, and is named after the novel by Robert Louis Stevenson, a one-time San Francisco resident.",Paramount Pictures,Paramount Pictures,Steven Spielberg,Jeffrey Boam,Harrison Ford,Sean Connery,Chazz Palminteri
Pacific Heights,1990,Chinatown,37.7941378,-122.4077914,"First established in the mid-19th Century, SF's Chinatown is the oldest and largest Chinatown in the US.",Morgan Creek Productions,Twentieth Century Fox Film Corporation,John Schlesinger,Daniel Pyne,Melanie Griffith,Matthew Modine,Paul Rodriguez
Pacific Heights,1990,Financial District,37.7945742,-122.3999445,,Morgan Creek Productions,Twentieth Century Fox Film Corporation,John Schlesinger,Daniel Pyne,Melanie Griffith,Matthew Modine,Bruce Dern
Pacific Heights,1990,Texas & 19th Streets (Potrero Hill),37.761359,-122.395438,,Morgan Creek Productions,Twentieth Century Fox Film Corporation,John Schlesinger,Daniel Pyne,Melanie Griffith,Matthew Modine,
Star Trek VI: The Undiscovered County,1991,Golden Gate Bridge,37.8198772,-122.4789386,"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",Paramount Pictures,Paramount Pictures,Nicholas Meyer,Nimoy,William Shatner,Leonard Nimoy,Ray Charles
Vegas in Space,1991,Carona Heights Park,37.7653122,-122.4385846,,Troma Entertainment,MCA/Universal Home Video,Phillip R. Ford,Doris Fish,,,
Class Action,1991,"Mission Delores (3321 16th Street, Mision District)",37.7643821,-122.4268206,"Mission Delores' official name is Mission San Francisco de Asis. It is the oldest building in San Francisco, built in 1791, and has survived two major earthquakes.",Interscope Communications,Twientieth Century Fox Film Corp.,Michael Apted,Carolyn Shelby,Gene Hackman,Mary Elizabeth Mastrantonio,
Vegas in Space,1991,422 Oak Street at Laguna,37.774738,-122.426386,,Troma Entertainment,MCA/Universal Home Video,Phillip R. Ford,Doris Fish,,,
Vegas in Space,1991,3567 18th Street,37.7615944,-122.4230814,,Troma Entertainment,MCA/Universal Home Video,Phillip R. Ford,Doris Fish,,,
Class Action,1991,City Hall,37.7793176,-122.4191405,"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",Interscope Communications,Twientieth Century Fox Film Corp.,Michael Apted,Carolyn Shelby,Gene Hackman,Mary Elizabeth Mastrantonio,
Vegas in Space,1991,Project Artaud (Florida Street),37.7575436,-122.4105342,,Troma Entertainment,MCA/Universal Home Video,Phillip R. Ford,Doris Fish,,,
Vegas in Space,1991,Under Highway 101 (near Potrero and Cesar Chavez Streets),37.7483767,-122.4103522,,Troma Entertainment,MCA/Universal Home Video,Phillip R. Ford,Doris Fish,,,
Vegas in Space,1991,544 Natoma (SOMA),37.7795125,-122.4087872,,Troma Entertainment,MCA/Universal Home Video,Phillip R. Ford,Doris Fish,,,
Until the End of the World,1991,"Tosca Café (242 Columbus Avenue, North Beach)",37.7976266,-122.4058736,,Village Roadshow Pictures,Warner Bros. Pictures,Wim Wenders,Wim Wenders,Solveig Dommartin,,
Class Action,1991,Bix Restaurant (56 Gold Street),37.7969088,-122.4029369,,Interscope Communications,Twientieth Century Fox Film Corp.,Michael Apted,Carolyn Shelby,Gene Hackman,Mary Elizabeth Mastrantonio,
Final Analysis,1992,"Presidio, Golden Gate National Recreation Area",37.806021,-122.475726,"In 1776, Spain made the Presido a fortified area. The area was then given to Mexico, but then given to the US in 1848. The 1994 demilitarization of the area in 1994 marked the end of its 219 years of military use. ",Warner Bros. Pictures,Warner Bros. Pictures,Phil Joanou,Robert Berger,Richard Gere,Kim Basinger,
Basic Instinct,1992,"Steinhart Aquarium (California Academy of Sciences, Golden Gate Park)",37.7698646,-122.4660947,"The Steinhart Aquarium is home to over 38,000 animals, which represent more than 900 species. ",Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas,Michael Douglas,Sharon Stone,George Dzundza
Basic Instinct,1992,2930 Vallejo Street,37.794164,-122.445704,,Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas,Michael Douglas,Sharon Stone,George Dzundza
Basic Instinct,1992,2104 Broadway,37.794662,-122.432006,,Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas,Michael Douglas,Sharon Stone,George Dzundza
Sister Act,1992,"St. Paul's Church (Church Street, Noe Valley)",37.7548957,-122.4277532,,Touchstone Pictures,Buena Vista Pictures,Emile Ardolino,Joseph Howard,Whoopi Goldberg,Maggie Smith,
Sneakers,1992,Hills Brothers Plaza (The Embarcadero at Harrison),37.7749295,-122.4194155,,Universal Pictures,Universal Pictures,Phil Alden Robinson,Walter Parkes,Sydney Poitier,Robert Redford,
Final Analysis,1992,"Public Health Service Hospital (Presidio, Golden Gate National Recreation Area)",37.7749295,-122.4194155,"In 1776, Spain made the Presido a fortified area. The area was then given to Mexico, but then given to the US in 1848. The 1994 demilitarization of the area in 1994 marked the end of its 219 years of military use. ",Warner Bros. Pictures,Warner Bros. Pictures,Phil Joanou,Robert Berger,Richard Gere,Kim Basinger,
Basic Instinct,1992,Yuerba Buena Center for the Arts,37.7749295,-122.4194155,,Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas,Michael Douglas,Sharon Stone,George Dzundza
Memoirs of an Invisible Man,1992,St. Elizabeth Apartment House (901 Powell Street at Sacramento),37.7749295,-122.4194155,,Warner Bros. Pictures,Warner Bros. Pictures,John Carpenter,Robert Collector,Chevy Chase,Daryl Hannah,Gary Oldman
Final Analysis,1992,City Hall,37.7793176,-122.4191405,"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",Warner Bros. Pictures,Warner Bros. Pictures,Phil Joanou,Robert Berger,Richard Gere,Kim Basinger,
Final Analysis,1992,"Westin St. Francis Hotel (335 Powell Street, Union Square)",37.7878481,-122.4088069,"The hotel was originally supposed to be named the Crocker Hotel, after Charles Founder the railroad magnate who founded it. However, the hotel took the name the St. Francis after one of the earliest Gold Rush hotels. ",Warner Bros. Pictures,Warner Bros. Pictures,Phil Joanou,Robert Berger,Richard Gere,Kim Basinger,
Basic Instinct,1992,Raw Hide II (280 Seventh Street),37.776817,-122.408527,,Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas,Michael Douglas,Sharon Stone,George Dzundza
Basic Instinct,1992,Chinatown,37.7941378,-122.4077914,"First established in the mid-19th Century, SF's Chinatown is the oldest and largest Chinatown in the US.",Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas,Michael Douglas,Sharon Stone,George Dzundza
Basic Instinct,1992,Tosca Café (242 Columbus Avenue),37.7976266,-122.4058736,,Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas,Michael Douglas,Sharon Stone,George Dzundza
Basic Instinct,1992,Kearney Street (Telegraph Hill),37.7975623,-122.4054395,,Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas,Michael Douglas,Sharon Stone,George Dzundza
Basic Instinct,1992,Gibb Street (Chinatown),37.7960524,-122.4042824,,Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas,Michael Douglas,Sharon Stone,George Dzundza
Basic Instinct,1992,1158-70 Montgomery Street,37.799987,-122.403972,,Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas,Michael Douglas,Sharon Stone,George Dzundza
Basic Instinct,1992,Hall of Justice (850 Bryant Street),37.775471,-122.4037169,,Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas,Michael Douglas,Sharon Stone,George Dzundza
Final Analysis,1992,Bix Restaurant (56 Gold Street),37.7969088,-122.4029369,,Warner Bros. Pictures,Warner Bros. Pictures,Phil Joanou,Robert Berger,Richard Gere,Kim Basinger,
Basic Instinct,1992,Transbay Terminal (Mission Street at 1st Street),37.7885557,-122.3960306,"Built in 1939, the Terminal linked San Francisco, the East Bay, and Sacramento by rail for the first time.",Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas,Michael Douglas,Sharon Stone,George Dzundza
Basic Instinct,1992,Pier 7 (The Embarcadero),37.8001077,-122.3943664,,Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas,Michael Douglas,Sharon Stone,George Dzundza
Sneakers,1992,The Embarcadero,37.7976769,-122.3943387,,Universal Pictures,Universal Pictures,Phil Alden Robinson,Walter Parkes,Sydney Poitier,Robert Redford,
Mrs. Doubtfire,1993,Chrissy Field,37.8039069,-122.4640618,Chrissy Field was originally an airfield for the Presidio Army Base.,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Chris Columbus,Randi Mayem Singer,Robin Williams,Sally Field,Tom Arnold
So I Married an Axe Murderer,1993,305 Hugo Street,37.7651954,-122.4611472,,TriStar Pictures,TriStar Pictures,Thomas Schlamme,Robbie Fox,Mike Myers,Nancy Travis,
So I Married an Axe Murderer,1993,St. John's Presbyterian Church (25 Lake Street),37.7867261,-122.4596645,,TriStar Pictures,TriStar Pictures,Thomas Schlamme,Robbie Fox,Mike Myers,Nancy Travis,
Joy Luck Club,1993,375 Laguna Honda Blvd.,37.7481172,-122.4585671,,Hollywood Pictures,National Broadcasting Company (NBC),Wayne Wang,Amy Tan,Kieu Chung,,
So I Married an Axe Murderer,1993,Swedenborgian Church (2107 Lyon Street),37.7903264,-122.4463411,,TriStar Pictures,TriStar Pictures,Thomas Schlamme,Robbie Fox,Mike Myers,Nancy Travis,
Sister Act 2: Back in the Habit,1993,"Maritime Museum, Building 201 (Fort Mason)",37.806984,-122.4303999,,Touchstone Pictures,Buena Vista Pictures,Bill Duke,Joseph Howard,Whoopi Goldberg,Maggie Smith,
So I Married an Axe Murderer,1993,Alcatraz Island,37.8269775,-122.4229555,Alcatraz Island was a military fort before it became a prison.,TriStar Pictures,TriStar Pictures,Thomas Schlamme,Robbie Fox,Mike Myers,Nancy Travis,
So I Married an Axe Murderer,1993,Café Picaro 3120 16th Street,37.7650784,-122.4225222,,TriStar Pictures,TriStar Pictures,Thomas Schlamme,Robbie Fox,Mike Myers,Nancy Travis,
So I Married an Axe Murderer,1993,San Francisco Chronicle (901 Mission Street at 15th Street),37.7666481,-122.4202455,The paper is called the San Francisco Globe in the movie.,TriStar Pictures,TriStar Pictures,Thomas Schlamme,Robbie Fox,Mike Myers,Nancy Travis,
Joy Luck Club,1993,Horace Mann School (3351 23rd Street),37.7535332,-122.4199993,,Hollywood Pictures,National Broadcasting Company (NBC),Wayne Wang,Amy Tan,Kieu Chung,,
So I Married an Axe Murderer,1993,"Aladdin Terrace (off of Taylor Street, Between Filbert and Union)",37.7749295,-122.4194155,,TriStar Pictures,TriStar Pictures,Thomas Schlamme,Robbie Fox,Mike Myers,Nancy Travis,
So I Married an Axe Murderer,1993,Fog City Diner (1300 Battery Street),37.7749295,-122.4194155,,TriStar Pictures,TriStar Pictures,Thomas Schlamme,Robbie Fox,Mike Myers,Nancy Travis,
Fearless,1993,Varennes Alley between Filbert and Union,37.7749295,-122.4194155,,Spring Creek Productions,Warner Bros. Pictures,Peter Weir,Rafael Yglesias,Jeff Bridges,Isabella Rosellini,
So I Married an Axe Murderer,1993,Prudente's Italian Deli (1462 Grant Ave at Union),37.7749295,-122.4194155,"Prudente's Italian Deli, which has since closed, is called ""Meats of the World"" in the film.",TriStar Pictures,TriStar Pictures,Thomas Schlamme,Robbie Fox,Mike Myers,Nancy Travis,
Sister Act 2: Back in the Habit,1993,"Carnelian Room, Bank of America Building (555 California Street, 53rd Floor)",37.7749295,-122.4194155,"The Bank of America Building was the tallest building on the West Coast from 1969-1972, when it was surpassed by the TransAmerica Pyramid. Today, the Bank of America building is the 5th tallest building on the West Coast.",Touchstone Pictures,Buena Vista Pictures,Bill Duke,Joseph Howard,Whoopi Goldberg,Maggie Smith,
Sister Act 2: Back in the Habit,1993,CCSF Alemany Campus,37.7749295,-122.4194155,,Touchstone Pictures,Buena Vista Pictures,Bill Duke,Joseph Howard,Whoopi Goldberg,Maggie Smith,
So I Married an Axe Murderer,1993,Edinburgh Castle (950 Geary Street),37.7862257,-122.4189871,,TriStar Pictures,TriStar Pictures,Thomas Schlamme,Robbie Fox,Mike Myers,Nancy Travis,
Mrs. Doubtfire,1993,Hancock School (940 Filbert Street),37.8007185,-122.4148445,,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Chris Columbus,Randi Mayem Singer,Robin Williams,Sally Field,Tom Arnold
Joy Luck Club,1993,901 Union Street,37.799619,-122.41434,,Hollywood Pictures,National Broadcasting Company (NBC),Wayne Wang,Amy Tan,Kieu Chung,,
Joy Luck Club,1993,180 Manchester Street,37.744204,-122.414328,,Hollywood Pictures,National Broadcasting Company (NBC),Wayne Wang,Amy Tan,Kieu Chung,,
Mrs. Doubtfire,1993,1200 Washington Street at Taylor Street,37.7944792,-122.4131705,,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Chris Columbus,Randi Mayem Singer,Robin Williams,Sally Field,Dolly Parton
So I Married an Axe Murderer,1993,Rocco's Corner (Columbus Street),37.8011299,-122.411459,,TriStar Pictures,TriStar Pictures,Thomas Schlamme,Robbie Fox,Mike Myers,Nancy Travis,
Sister Act 2: Back in the Habit,1993,"St. Peter & Paul's Church (666 Filbert Street, Washington Square)",37.800781,-122.410084,"Though Marilyn Monroe and Joe DiMaggio were not alllowed to be married at the Church (DiMaggio had married his first wife at the Church but was divorced), the couple returned to the steps of the Church for photos, following their City Hall nuptuals.",Touchstone Pictures,Buena Vista Pictures,Bill Duke,Joseph Howard,Whoopi Goldberg,Maggie Smith,
Fearless,1993,"St. Peter & Paul's Church (666 Filbert Street, Washington Square)",37.800781,-122.410084,"Though Marilyn Monroe and Joe DiMaggio were not alllowed to be married at the Church (DiMaggio had married his first wife at the Church but was divorced), the couple returned to the steps of the Church for photos, following their City Hall nuptuals.",Spring Creek Productions,Warner Bros. Pictures,Peter Weir,Rafael Yglesias,Jeff Bridges,Isabella Rosellini,
Mrs. Doubtfire,1993,Danilo's Bakery (Green Street & Bannam Place),37.8006262,-122.4079371,,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Chris Columbus,Randi Mayem Singer,Robin Williams,Sally Field,Tom Arnold
Mrs. Doubtfire,1993,516 Green Street,37.7998378,-122.4078056,,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Chris Columbus,Randi Mayem Singer,Robin Williams,Sally Field,Tom Arnold
Joy Luck Club,1993,Hang Ah Alley (Chinatown),37.7941248,-122.4075468,,Hollywood Pictures,National Broadcasting Company (NBC),Wayne Wang,Amy Tan,Kieu Chung,,
So I Married an Axe Murderer,1993,"1462 Grant Avenue, at Union Street",37.8005374,-122.4074414,,TriStar Pictures,TriStar Pictures,Thomas Schlamme,Robbie Fox,Mike Myers,Nancy Travis,
Mrs. Doubtfire,1993,520-522A Green Street at Grant Street,37.7997174,-122.4074187,,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Chris Columbus,Randi Mayem Singer,Robin Williams,Sally Field,Tom Arnold
So I Married an Axe Murderer,1993,City Light Bookstore (261 Columbus Avenue),37.797601,-122.406579,,TriStar Pictures,TriStar Pictures,Thomas Schlamme,Robbie Fox,Mike Myers,Nancy Travis,
So I Married an Axe Murderer,1993,Vesuvio Café (255 Columbus Avenue),37.7974835,-122.4065082,Jack Kerouac was a regular at the café.,TriStar Pictures,TriStar Pictures,Thomas Schlamme,Robbie Fox,Mike Myers,Nancy Travis,
Sister Act 2: Back in the Habit,1993,Coit Tower,37.8023302,-122.4058209,"The Tower was funded by a gift bequeathed by Lillie Hitchcock Coit, a socialite who reportedly liked to chase fires. Though the tower resembles a firehose nozzle, it was not designed this way.",Touchstone Pictures,Buena Vista Pictures,Bill Duke,Joseph Howard,Whoopi Goldberg,Maggie Smith,
Fearless,1993,"San Francisco General Hospital Medical Center (1001 Potrero Avenue, Potrero Hill)",37.7563054,-122.4045441,SF General Hospital is the only Level I Trauma Center serving San Francisco and northern San Mateo County.,Spring Creek Productions,Warner Bros. Pictures,Peter Weir,Rafael Yglesias,Jeff Bridges,Isabella Rosellini,
Fearless,1993,Bank of America Building (555 California Street),37.791996,-122.404105,"The Bank of America Building was the tallest building on the West Coast from 1969-1972, when it was surpassed by the TransAmerica Pyramid. Today, the Bank of America building is the 5th tallest building on the West Coast.",Spring Creek Productions,Warner Bros. Pictures,Peter Weir,Rafael Yglesias,Jeff Bridges,Isabella Rosellini,
Fearless,1993,90 Gold Street,37.796724,-122.4034432,,Spring Creek Productions,Warner Bros. Pictures,Peter Weir,Rafael Yglesias,Jeff Bridges,Isabella Rosellini,
Fearless,1993,400 Montgomery Street,37.7931352,-122.4027749,,Spring Creek Productions,Warner Bros. Pictures,Peter Weir,Rafael Yglesias,Jeff Bridges,Isabella Rosellini,
Fearless,1993,Kohl Building (400 Montgomery Street),37.7931352,-122.4027749,,Spring Creek Productions,Warner Bros. Pictures,Peter Weir,Rafael Yglesias,Jeff Bridges,Isabella Rosellini,
Joy Luck Club,1993,610 Rhode Island Street (Potrero Hill),37.7619169,-122.402566,,Hollywood Pictures,National Broadcasting Company (NBC),Wayne Wang,Amy Tan,Kieu Chung,,
Fearless,1993,5th and Beale Streets,37.7889293,-122.3930447,,Spring Creek Productions,Warner Bros. Pictures,Peter Weir,Rafael Yglesias,Jeff Bridges,Isabella Rosellini,
Mrs. Doubtfire,1993,100 Embarcadero Street,37.7933939,-122.3925928,,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Chris Columbus,Randi Mayem Singer,Robin Williams,Sally Field,
Fearless,1993,Folsom Street & Embarcadero,37.790749,-122.389841,,Spring Creek Productions,Warner Bros. Pictures,Peter Weir,Rafael Yglesias,Jeff Bridges,Isabella Rosellini,
Getting Even with Dad,1994,M.H. de Young Memorial Museum (Golden Gate Park),37.7694208,-122.4862138,,Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM),Howard Deutch,Tom S. Parker,Macaulay Culkin,Ted Danson,John Heard
Interview With The Vampire,1994,Golden Gate Bridge,37.8198772,-122.4789386,"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",Geffen Pictures,Geffen Pictures,Neil Jordan,Anne Rice,Brad Pitt,Christian Slater,Chazz Palminteri
Golden Gate,1994,Golden Gate Bridge,37.8198772,-122.4789386,"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",American Playhouse Theatrical Films,The Samuel Goldwyn Company,John Madden,David Henry Wang,Matt Dillon,Joan Chen,Bryce Dallas Howard
Heart and Souls,1994,Conservatory of Flowers (Golden Gate Park),37.7726683,-122.4587578,"The Conservatory, unveiled in 1879, is the oldest public conservatory in the Western Hemisphere.",Universal Pictures,Electric Parc,Tomas Gislason,Tomas Gislason,Jorgen Leth,,
When a Man Loves a Woman,1994,1521 Masonic Avenue at Piedmont Street,37.765892,-122.444467,,Touchstone Pictures,Buena Vista Pictures,Luis Mandoki,Ronald Bass,Andy Garcia,Meg Ryan,
Heart and Souls,1994,2810 Pacific Avenue,37.7925938,-122.4420765,,Universal Pictures,Electric Parc,Tomas Gislason,Tomas Gislason,Jorgen Leth,,
Golden Gate,1994,Buena Vista Park (Haight Street at Buena Vista),37.7681801,-122.4392915,"Established in 1867, Buena Vista Park is the oldest official park in San Francisco.",American Playhouse Theatrical Films,The Samuel Goldwyn Company,John Madden,David Henry Wang,Matt Dillon,Joan Chen,Bryce Dallas Howard
Junior,1994,722 Steiner Street,37.776454,-122.432757,,Northern Lights Entertainment,Universal Pictures,Ivan Reitman,Kevin Wade,Arnold Schwarzenegger,Danny DeVito,
Junior,1994,"Postcard Row (Alamo Square, Hayes Valley)",37.7759073,-122.4245247,The 6 Victorian homes across from Alamo Square Park are among the few Victorians to survive the Great Fire.,Northern Lights Entertainment,Universal Pictures,Ivan Reitman,Kevin Wade,Arnold Schwarzenegger,Danny DeVito,
Heart and Souls,1994,Stockton Tunnel (Stockton Street at Sutter Street),37.7874692,-122.4226315,"Opened in 1914, the Stockton Tunnel was built to provide North Beach residents access to the thriving downtown area.",Universal Pictures,Electric Parc,Tomas Gislason,Tomas Gislason,Jorgen Leth,,
When a Man Loves a Woman,1994,Buena Vista Café (2765 Hyde Street),37.8065278,-122.4207822,,Touchstone Pictures,Buena Vista Pictures,Luis Mandoki,Ronald Bass,Andy Garcia,Meg Ryan,
Heart and Souls,1994,War Memorial Opera House (401 Van Ness Avenue),37.7785837,-122.4207164,In 1945 the United Nations had its first conference at The War Memorial Opera House.,Universal Pictures,Electric Parc,Tomas Gislason,Tomas Gislason,Jorgen Leth,,Sam Elliot
Getting Even with Dad,1994,War Memorial Building (401 Van Ness Avenue),37.7785837,-122.4207164,,Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM),Howard Deutch,Tom S. Parker,Macaulay Culkin,Ted Danson,
Junior,1994,2552 Hyde Street,37.804561,-122.419872,,Northern Lights Entertainment,Universal Pictures,Ivan Reitman,Kevin Wade,Arnold Schwarzenegger,Danny DeVito,
Interview With The Vampire,1994,6th Street On-ramp to Highway 280,37.7749295,-122.4194155,,Geffen Pictures,Geffen Pictures,Neil Jordan,Anne Rice,Brad Pitt,Christian Slater,Chazz Palminteri
Junior,1994,Hyatt Fisherman's Wharf (555 Northpoint Street),37.7749295,-122.4194155,,Northern Lights Entertainment,Universal Pictures,Ivan Reitman,Kevin Wade,Arnold Schwarzenegger,Danny DeVito,Ruth Gordon
Forrest Gump,1994,Palace of Fine Arts (3301 Lyon Street),37.7749295,-122.4194155,"The original Palace was built for the 1915 Panama-Pacific Exposition, and completely destroyed in 1964. It was rebuilt in 1965.",Paramount Pictures,Parmaount Pictures,Robert Zemeckis,Eric Roth,Tom Hanks,Robin Wright,
When a Man Loves a Woman,1994,Spring Valley School (1451 Jackson Street),37.794105,-122.4188942,,Touchstone Pictures,Buena Vista Pictures,Luis Mandoki,Ronald Bass,Andy Garcia,Meg Ryan,
Golden Gate,1994,University of California Hastings College of the Law,37.7808685,-122.4156292,,Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM),Howard Deutch,Tom S. Parker,Macaulay Culkin,Ted Danson,
Junior,1994,United Nations Plaza (Civic Center),37.7799084,-122.4143136,United Nations Plaza was built in 1975 and across its walkways are white lines into which the preamble to the preamble of the UN charter is carved.,Northern Lights Entertainment,Universal Pictures,Ivan Reitman,Kevin Wade,Arnold Schwarzenegger,Danny DeVito,
When a Man Loves a Woman,1994,Cybelle's Pizza (1000 Bush Street),37.7896824,-122.4140212,,Touchstone Pictures,Buena Vista Pictures,Luis Mandoki,Ronald Bass,Andy Garcia,Meg Ryan,
Getting Even with Dad,1994,Mason Street at Jackson,37.7954401,-122.4115822,,Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM),Howard Deutch,Tom S. Parker,Macaulay Culkin,Ted Danson,
Junior,1994,"Fairmont Hotel (950 Mason Street, Nob Hill)",37.7923392,-122.4105175,,Northern Lights Entertainment,Universal Pictures,Ivan Reitman,Kevin Wade,Arnold Schwarzenegger,Danny DeVito,Ruth Gordon
